,text,favourite_count,retweet_count,created_at
0,"When your employees are happy at work, they lead to greater productivity. And that includes all your employees.

He… https://t.co/F0FxWiJWiU",1,0,2022-01-07 04:30:02+00:00
1,@LgbtqIndia @etimes How is this transgender?,2,0,2022-01-06 10:41:35+00:00
2,@LgbtqIndia @etimes He's playing the role of a 'Launda Naach' artist. Not a transgender person.,1,0,2022-01-06 09:49:23+00:00
3,"Hiring LGBT+ Talent (LGBT+: Lesbian, Gay, Bisexual, Transgender, Queer, Intersex)

Non IT &amp; IT (0 to 18 yrs - India… https://t.co/GaC2dPDr6a",0,0,2022-01-06 07:58:24+00:00
4,"...Transgender Persons (Protection of #Rights) #Act 2019. 
Registrations open from #January10, 2022. To know more,… https://t.co/JiyqgIEK52",1,0,2022-01-06 07:10:25+00:00
5,"RT @imhomogeneous: @ANI @LgbtqIndia While trying to completely ignore the unnecessary homophobic comments, I’d like to convey my heartily c…",0,0,2022-01-06 01:37:45+00:00
6,"Happy new year y'all!

#queer__ed #lgbt #stop_homophobia #trans_india #enby_india #intersex_india… https://t.co/7YBMChGiQM",1,1,2022-01-05 10:53:51+00:00
7,"@ANI @LgbtqIndia While trying to completely ignore the unnecessary homophobic comments, I’d like to convey my heart… https://t.co/2BwrMD61OJ",2,1,2022-01-05 10:00:17+00:00
8,"They say we are just friends
•Two women embracing and using carrots as dildos.
Gouache painting by an Indian painte… https://t.co/3pwCIRtISN",3,0,2022-01-05 09:15:18+00:00
9,Amritha🥰 https://t.co/zy17lCTiUC,5,0,2022-01-05 08:49:19+00:00
10,...working for the #inclusion of #transgender persons into #mainstream society. Help them cover the distance from… https://t.co/84nGr6ZCQ7,1,0,2022-01-04 10:18:15+00:00
11,"RT @supriya_sule: We, more so as elected public representatives should all strive towards building an inclusive society.
@LgbtqIndia 
@priy…",0,0,2022-01-04 09:12:55+00:00
12,@LgbtqIndia Congratulations 🎉 to both of them and best wishes for their future 😍😍,3,0,2022-01-04 01:20:06+00:00
